borough,yr6_obesity_prevalence_%
Barking and Dagenham,30.0332025354663
Barnet,18.5938707185166
Bexley,21.5547703180212
Brent,28.0547945205479
Bromley,15.2011494252874
Camden,21.8594748048261
Croydon,23.5154394299287
Ealing,23.9815712900097
Enfield,25.5648330058939
Greenwich,25.0316455696203
Hackney1,25.3046303818034
Hammersmith and Fulham,21.5348472983555
Haringey,23.6504723346829
Harrow,19.7334320621992
Havering,22.5829216654905
Hillingdon,21.8166620228476
Hounslow,22.9868747782902
Islington,23.6238532110092
Kensington and Chelsea,20.7750269106566
Kingston upon Thames,14.8169014084507
Lambeth,24.3576205561422
Lewisham,24.2724656220019
Merton,21.7391304347826
Newham,27.4054412740544
Redbridge,25.2912244369661
Richmond upon Thames,12.2627737226277
Southwark,24.6298788694482
Sutton,19.1129401005944
Tower Hamlets,26.7317073170732
Waltham Forest,24.3472584856397
Wandsworth,19.5217391304348
Westminster,22.8801169590643
North East,22.7931584287578
North West,20.955799017756
Yorkshire and The Humber,20.632194657462
East Midlands,19.8946632103033
West Midlands,22.5285346097202
East,17.8425956271361
London,23.0643498102196
South East,17.3005892181866
South West,16.7796075959341
England,20.1420806349228
