borough,outlet_counts,"rate_per_100,000"
Barking and Dagenham,194.0,97.8345285283468
Barnet,278.0,74.15014069855833
Bexley,196.0,81.71263002105351
Brent,304.0,94.77431865370586
Bromley,255.0,79.37051400967387
Camden,330.0,140.51761579928976
City of London,269.0,*
Croydon,424.0,112.75396234443146
Ealing,286.0,83.59688762356848
Enfield,266.0,81.95357607202057
Greenwich,231.0,85.97652208219505
Hackney,290.0,110.20330609918297
Hammersmith and Fulham,196.0,109.88702940599333
Haringey,255.0,95.31249415977364
Harrow,201.0,81.70366365731614
Havering,236.0,95.94509988860611
Hillingdon,256.0,87.46455293997062
Hounslow,184.0,69.28545607904567
Islington,295.0,133.4660453332127
Kensington and Chelsea,100.0,64.02458544080926
Kingston upon Thames,136.0,80.01976959013403
Lambeth,313.0,98.36086180456043
Lewisham,345.0,118.17780107079363
Merton,167.0,82.05783357492076
Newham,364.0,112.23413767798668
Redbridge,229.0,78.14232823190186
Richmond upon Thames,123.0,63.5379807319782
Southwark,339.0,112.05203974376772
Sutton,179.0,90.34289925000253
Tower Hamlets,354.0,124.64130415647061
Waltham Forest,297.0,110.81262592343856
Wandsworth,306.0,98.03136362908265
Westminster,464.0,198.89237522075337
